Review_Text,Rating
"The battery life on this phone is absolutely amazing, easily lasts two days.",5
"Screen quality is top notch but the camera creates weird artifacts in low light.",4
"Terrible experience. The phone heats up while charging and support is useless.",1
"I love the new design, it feels very premium in hand. Worth every penny.",5
"Delivery was late and the box was damaged. Not happy with the service.",2
"Best purchase I have made this year. The processor is blazing fast.",5
"Overpriced for what it offers. You can get better specs for half the price.",2
"The user interface is smooth and bug free. Highly recommended.",5
"Camera is okay, but not flagship level. A bit disappointed.",3
"Worst phone ever. It lags constantly and crashes apps.",1
