productAsin,country,date,isVerified,ratingScore,reviewTitle,Review_Text,preprocessed_review,sentiment,sentiment_score,index,ml_sentiment
B09G9BL5CP,India,11-08-2024,True,4.0,No charger,"Every thing is good about iPhones, there's nothing compared to it's speed and ios but i was disappointed because there's no charger for it even though Indian judiciary told them to provide , still they haven't made any progress regarding charger. Why should we spend 62k and more than that for iPhones because of it's brand and Acessories comfort size and Features right if that's not there what's point of buying an iPhone.Thank you",every thing good iphones there nothing compared speed io disappointed there charger even though indian judiciary told provide still havent made progress regarding charger spend k iphones brand acessories comfort size feature right thats whats point buying iphonethank,Negative,-1,1,Negative
B09G9BL5CP,India,16-08-2024,True,5.0,iPhone 13 256GB,"It look so fabulous, I am android user switched to apple, performance wise iPhone is more better than android due to A15 Bionic chip. I feel pleasant while using iPhone in hand. I like it very much",look fabulous android user switched apple performance wise iphone better android due bionic chip feel pleasant using iphone hand like much,Neutral,0,2,Positive
B09G9BL5CP,India,14-05-2024,True,4.0,Flip camera option nill,"I tried to flip camera while recording but no facility is added here. You have to pause first then you can flip from back to front or vice versa it means you can't continue it, very awkward position. Iphone software should be upgraded so that we can make it go. It's very essential for a content creator. I purchased gimbal dji om se but it could not provided that, it's very essential for a vlogger but I was fed up after finding the basic requirements wasn't built in these products !",tried flip camera recording facility added pause first flip back front vice versa mean cant continue awkward position iphone software upgraded make go essential content creator purchased gimbal dji om se could provided essential vlogger fed finding basic requirement wasnt built product,Neutral,0,3,Negative
B09G9BL5CP,India,24-06-2024,True,5.0,Product,100 genuine,genuine,Neutral,0,4,Neutral
B09G9BL5CP,India,18-05-2024,True,5.0,Good product,Happy to get the iPhone 13 in Amazon offer,happy get iphone amazon offer,Neutral,0,5,Positive
B09G9BL5CP,India,14-05-2024,True,5.0,Too smooth and effective battery life,5 star,star,Neutral,0,6,Neutral
B09G9BL5CP,India,28-01-2024,True,5.0,Apple 13 256 GB,"Great Product... Nothing to say, as the Name APPLE is own identity of this product.. All is well, recommendation is 100 . Just grab this product else you missed something....",great product nothing say name apple identity product well recommendation grab product else missed something,Positive,1,7,Positive
B09G9BL5CP,India,01-03-2024,True,5.0,Good,Good product,good product,Positive,1,8,Positive
B09G9BL5CP,India,14-11-2023,True,4.0,Good,Nice product,nice product,Positive,1,9,Positive
B09G9BL5CP,India,03-02-2024,True,5.0,Excellent,Excellent product,excellent product,Positive,1,10,Positive
